iter	Passed	Remaining
396	487644	740678
397	488546	738957
398	489638	737525
399	490775	736163
400	491701	734487
401	492597	732769
402	493473	731026
403	494611	729674
404	495608	728115
405	496420	726290
406	497153	724353
407	498004	722594
408	498903	720909
409	499689	719065
410	500541	717321
411	501565	715827
412	502444	714128
413	503093	712108
414	503823	710208
415	504856	708740
416	505773	707112
417	506651	705433
418	507847	704198
419	508776	702595
420	509465	700666
421	510248	698871
422	511324	697480
423	512236	695868
424	513121	694223
425	513746	692230
426	514621	690580
427	515339	688724
428	515971	686758
429	516693	684918
430	517585	683308
431	518188	681322
432	519063	679696
433	519644	677693
434	520439	675973
435	521014	673972
436	521550	671929
437	522091	669898
438	522711	667975
439	523446	666204
440	524033	664251
441	524618	662301
442	525211	660367
443	525915	658578
444	526540	656695
445	527099	654737
446	527755	652905
447	528795	651551
448	529570	649873
449	530139	647948
450	530713	646035
451	531269	644106
452	531937	642317
453	532618	640549
454	533251	638729
455	533864	636890
456	534483	635064
457	535269	633441
458	535847	631576
459	536394	629680
460	536935	627783
461	537672	626120
462	538387	624436
463	539065	622713
464	539793	621052
465	540547	619425
466	541437	617957
467	542043	616169
468	542671	614410
469	543528	612915
470	544288	611313
471	544913	609564
472	545527	607807
473	546321	606255
474	546964	604539
475	547595	602815
476	548276	601150
477	549151	599701
478	549980	598203
479	550623	596509
480	551228	594776
481	551870	593088
482	552782	591694
483	553349	589934
484	553956	588222
485	554964	586937
486	556361	586064
487	557526	584945
488	558935	584082
489	560143	583006
490	560843	581403
491	561602	579866
492	562368	578338
493	563010	576686
494	563571	574956
495	564121	573220
496	564733	571550
497	565775	570320
498	566687	568958
499	567913	567913
500	568894	566623
501	569489	564952
502	570078	563277
503	570610	561552
504	571444	560128
505	572566	558987
506	573344	557512
507	573932	555855
508	574725	554401
509	575456	552889
510	576128	551324
511	576697	549665
512	577345	548084
513	578200	546703
514	578844	545125
515	579468	543532
516	580044	541898
517	580774	540411
518	581364	538798
519	581914	537152
520	582503	535545
521	583176	534019
522	583865	532512
523	584454	530916
524	584993	529280
525	585597	527705
526	586354	526273
527	586903	524656
528	587441	523033
529	587972	521410
530	588600	519874
531	589274	518384
532	589864	516823
533	590473	515282
534	591087	513749
535	591795	512300
536	592479	510834
537	593062	509284
538	593592	507692
539	594132	506112
540	594851	504689
541	595461	503176
542	595995	501601
543	596546	500046
544	597133	498524
545	597826	497094
546	598373	495544
547	598910	493991
548	599489	492477
549	600177	491054
550	600873	489641
551	601561	488223
552	602129	486711
553	602734	485233
554	603413	483817
555	604090	482402
556	604670	480914
557	605284	479454
558	606106	478163
559	606672	476671
560	607243	475186
561	607809	473702
562	608521	472334
563	609488	471164
564	610063	469694
565	610630	468221
566	611210	466762
567	612052	465504
568	613527	464728
569	615431	464273
570	618405	464616
571	619443	463499
572	620124	462116
573	621713	461410
574	623177	460609
575	624929	460017
576	625938	458876
577	626659	457526
578	627421	456207
579	628497	455118
580	629434	453929
581	630484	452822
582	631914	451986
583	633638	451359
584	634500	450115
585	635252	448796
586	635933	447428
587	636621	446068
588	637277	444687
589	637869	443265
590	638549	441906
591	639299	440598
592	639892	439184
593	640520	437797
594	641129	436399
595	641871	435094
596	642495	433711
597	643097	432316
598	643642	430885
599	644286	429524
600	644971	428192
601	645522	426773
602	646131	425396
603	646749	424027
604	647547	422778
605	648190	421430
606	648796	420061
607	649389	418685
608	650171	417433
609	650901	416150
610	651511	414792
611	652092	413417
612	652783	412115
613	653542	410859
614	654147	409506
615	654689	408117
616	655322	406788
617	656005	405492
618	656752	404237
619	657343	402887
620	657915	401529
621	658504	400184
622	659339	398990
623	659885	397623
624	660496	396297
625	661087	394962
626	661681	393632
627	662544	392462
628	663173	391156
629	663823	389864
630	664718	388718
631	665386	387440
632	666158	386224
633	666728	384893
634	667536	383702
635	668143	382396
636	669775	381677
637	670740	380576
638	671775	379516
639	674503	379407
640	676983	379152
641	678397	378296
642	679603	377322
643	681263	376599
644	682101	375420
645	683044	374299
646	684256	373327
647	685326	372276
648	686256	371149
649	687442	370161
650	689141	369447
651	689919	368239
652	690730	367049
653	691698	365944
654	692597	364803
655	693492	363660
656	694487	362570
657	695143	361305
658	695679	359980
659	696258	358678
660	697324	357629
661	698450	356610
662	699129	355364
663	699772	354101
664	700701	352985
665	702074	352091
666	703005	350975
667	703891	349838
668	705153	348887
669	706182	347821
670	707981	347132
671	710535	346809
672	712037	345967
673	712734	344734
674	713535	343554
675	714329	342371
676	714922	341092
677	715534	339826
678	716142	338559
679	716887	337358
680	717511	336103
681	718114	334839
682	718719	333578
